PHC_ID,ProfileID,ISBN,Quantity,Time
1,1,rdigiacomettinow,1,8/5/2011 11:24
2,1,cwinnardf,3,11/2/2014 5:02
3,4,gvallentinec,4,11/9/2009 18:09
4,2,rbeadnell7,1,11/2/2015 16:02
5,4,adenslowv,2,2/1/2005 16:50
6,3,gvallentinec,3,10/26/2016 19:19
7,3,jkornelq,1,1/2/2012 2:32
8,8,darnaldox,1,9/5/2013 5:37
9,11,jbilletty,5,5/6/2010 14:10
10,23,dlumsdainet,2,6/3/2017 3:15
11,48,adenslowv,3,3/16/2013 19:58
12,2,seddins1b,1,2/7/2017 5:07
13,4,dlumsdainet,1,1/7/2016 7:35
14,5,aissacoff1a,5,5/6/2013 6:49
15,2,dlumsdainet,1,5/1/2007 18:47
16,5,darnaldox,6,6/3/2010 3:37
17,6,vgainsborough14,9,6/9/2012 23:09
18,7,cchippin18,7,11/1/2006 10:01
19,47,darnaldox,4,10/16/2005 16:20
